,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,variant_id,quarter,year,orderquantity,unitprice,sales,view,add_to_cart,orderquantity_next_quarter,view_next_quarter,add_to_cart_next_quarter,best_seller_of_quarter,best_seller_next_quarter,add_to_cart_rate,cart_to_order_rate,conversion_rate,aov,order_growth,view_growth,add_to_cart_growth,aov_lag_1,add_to_cart_lag_1,orderquantity_lag_1,orderquantity_lag_2,orderquantity_lag_3,view_lag_1,order_3q_avg,order_6q_avg,view_3q_avg,add_to_cart_3q_avg
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2009.0,42.0,92750.0,151.35,11791.0,269.0,39.0,0.0,0.0,0.0,0.0,0.0228140106861165,0.1561338289962825,0.0035620388431854,3.6035714285714286,0.9285714285714286,0.0,0.0,,,,,,,,,,
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2010.0,39.0,92750.0,147.46,6569.0,178.0,14.0,0.0,0.0,0.0,0.0,0.0270969706195768,0.2191011235955056,0.0059369767087836,3.781025641025641,0.358974358974359,0.0,0.0,3.6035714285714286,269.0,42.0,,,11791.0,,,,
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,2010.0,14.0,92750.0,51.56,3957.0,52.0,13.0,0.0,0.0,0.0,0.0,0.0131412686378569,0.2692307692307692,0.0035380338640384,3.682857142857143,0.9285714285714286,0.0,0.0,3.781025641025641,178.0,39.0,42.0,,6569.0,31.666666666666668,,7439.0,166.33333333333334
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2010.0,17.0,277250.0,184.09,3474.0,78.0,40.0,0.0,0.0,0.0,0.0,0.0224525043177892,0.2179487179487179,0.0048934945308002,10.828823529411764,2.3529411764705883,0.0,0.0,,,,,,,,,,
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2010.0,40.0,277250.0,430.88,9651.0,207.0,23.0,0.0,0.0,0.0,0.0,0.0214485545539322,0.1932367149758454,0.004144648222982,10.772,0.575,0.0,0.0,10.828823529411764,78.0,17.0,,,3474.0,,,,
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,2011.0,23.0,277250.0,262.31,4903.0,113.0,25.0,0.0,0.0,0.0,0.0,0.0230471140118294,0.2035398230088495,0.0046910055068325,11.404782608695651,1.0869565217391304,0.0,0.0,10.772,207.0,40.0,17.0,,9651.0,26.666666666666668,,6009.333333333333,132.66666666666666
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2009.0,82.0,391750.0,1319.33,16243.0,434.0,117.0,0.0,0.0,0.0,1.0,0.0267192021178353,0.1889400921658986,0.005048328510743,16.08939024390244,1.4268292682926829,0.0,0.0,,,,,,,,,,
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2010.0,117.0,391750.0,1791.65,12890.0,339.0,113.0,0.0,0.0,1.0,1.0,0.0262994569433669,0.3451327433628318,0.0090768037238169,15.31324786324786,0.9658119658119658,0.0,0.0,16.08939024390244,434.0,82.0,,,16243.0,,,,
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2011.0,113.0,391750.0,1748.35,86732.0,548.0,74.0,0.0,0.0,1.0,0.0,0.0063183138864548,0.2062043795620438,0.0013028639948346,15.472123893805309,0.6548672566371682,0.0,0.0,15.31324786324786,339.0,117.0,82.0,,12890.0,104.0,,38621.66666666666,440.3333333333333
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2012.0,74.0,391750.0,1149.37,16322.0,213.0,5.0,0.0,0.0,0.0,0.0,0.0130498713392966,0.3474178403755869,0.0045337581178777,15.532027027027024,0.0675675675675675,0.0,0.0,15.472123893805309,548.0,113.0,117.0,82.0,86732.0,101.33333333333331,,38648.0,366.6666666666667
