variant_id,orderquantity,unitprice,view,add_to_cart,best_seller_of_month,best_seller_next_month
0,42,3.71,57,46,False,False
3,28,8.74,83,28,False,False
5,47,15.74,54,49,False,False
11,14,208.16,19,15,False,False
13,47,2.6,85,47,False,False
23,25,125.99,39,27,False,False
31,11,205.99,20,13,False,False
34,12,20.98,29,12,False,False
40,36,3.98,98,38,False,False
44,15,125.99,37,17,False,False
48,25,8.09,47,26,False,False
54,3,125.99,4,3,False,False
68,25,115.99,46,29,False,False
76,20,15.99,47,20,False,False
94,2,35.99,6,2,False,False
104,23,14.56,52,26,False,False
110,11,5.38,31,12,False,False
122,39,3.29,44,39,False,False
123,18,6.84,22,18,False,False
130,16,8.34,19,17,False,False
135,36,6.88,99,43,False,False
136,36,6.98,56,38,False,False
164,41,1.81,115,46,False,False
166,4,240.98,9,4,False,False
171,42,4.13,59,42,False,False
172,40,30.53,51,48,False,False
183,16,4.13,31,19,False,False
189,54,2.89,160,62,True,False
195,36,4.91,78,42,False,False
196,41,6.3,93,42,False,False
203,50,58.1,134,50,True,False
211,29,5.58,35,29,False,False
223,48,8.6,61,51,False,False
224,3,1.98,4,3,False,False
228,3,40.98,7,3,False,False
234,27,1.7,27,27,False,False
250,30,59.98,62,34,False,False
266,2,179.29,3,2,False,False
277,16,9.11,29,19,False,False
280,41,43.98,111,42,False,False
282,43,11.66,54,50,False,False
289,39,28.15,109,46,False,False
291,40,218.75,74,48,False,False
295,24,376.13,43,25,False,False
297,44,1.98,121,52,False,False
301,4,212.6,11,4,False,False
303,27,140.98,34,29,False,False
306,23,100.98,52,23,False,False
318,31,150.98,65,37,False,False
320,21,199.99,37,25,False,False
321,3,699.99,7,3,False,False
324,6,120.97,10,6,False,False
327,17,3.36,48,18,False,False
329,9,20.28,10,9,False,False
330,13,80.98,15,15,False,False
337,39,217.85,52,44,False,False
346,5,18.97,8,6,False,False
362,3,9.48,6,3,False,False
380,40,105.34,93,41,False,False
384,44,92.23,70,47,False,False
385,35,29.18,40,40,False,False
389,29,4.26,32,32,False,False
393,24,8.34,52,25,False,False
395,32,155.06,82,35,False,False
408,49,90.98,62,57,True,False
417,29,4.14,47,30,False,False
421,46,28.28,95,52,False,False
423,4,1.74,12,4,False,False
